offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
116.0 to 116.66666670000001,"[0, 3, 7, 9, 10]","['A4', 'B-2', 'B-3', 'C4', 'C5', 'E-4', 'E-5', 'G4']","[2, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0]"
117.0 to 117.0,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
119.0 to 119.66666670000001,"[2, 7, 10]","['B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
120.0 to 120.625,"[2, 5]","['D4', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
121.0 to 121.625,"[2, 5]","['D4', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
122.0 to 122.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
123.0 to 123.0,"[2, 10]","['B-2', 'B-3', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
124.0 to 124.0,[10],['B-4'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
125.0 to 125.66666670000001,"[2, 7, 10]","['B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
126.0 to 126.625,"[2, 5]","['D4', 'F2', 'F3', 'F4']","[0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
127.0 to 127.625,"[2, 5]","['D4', 'F2', 'F3', 'F4']","[0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
128.0 to 128.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F2', 'F3', 'F4']","[1, 0, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0]"
129.0 to 129.0,"[2, 10]","['B-2', 'B-3', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
132.0 to 132.625,"[0, 5, 9]","['A4', 'C5', 'F3', 'F4']","[1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
133.0 to 133.625,"[0, 5, 9]","['A4', 'C5', 'F3', 'F4']","[1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
134.0 to 134.625,"[5, 9]","['A4', 'F3', 'F4', 'F5']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0]"
135.0 to 135.875,"[4, 5, 7, 10]","['B-4', 'E5', 'F5', 'G3', 'G4']","[0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0]"
136.0 to 136.5,"[5, 7]","['F5', 'G5']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
137.0 to 137.5,"[7, 9]","['A5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
138.0 to 138.625,"[0, 4, 7]","['C4', 'C5', 'E3', 'E4', 'G4']","[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]"
139.0 to 139.625,"[0, 4, 7]","['C4', 'C5', 'E3', 'E4', 'G4']","[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]"
140.0 to 140.625,"[0, 4, 7, 10]","['B-5', 'C4', 'E3', 'E4', 'G4']","[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0]"
141.0 to 141.875,"[0, 5, 9, 10]","['A5', 'B-5', 'C4', 'F3', 'F4']","[1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0]"
142.0 to 142.5,"[0, 10]","['B-5', 'C6']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
143.0 to 143.5,"[0, 2]","['C6', 'D6']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
144.0 to 144.875,"[0, 5]","['C6', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
145.0 to 145.75,"[0, 9]","['A4', 'C6']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
146.0 to 146.0,[5],"['F4', 'F6']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
147.0 to 147.875,"[0, 4, 5]","['C5', 'E6', 'F6']","[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
148.0 to 148.875,"[2, 4, 10]","['B-4', 'D6', 'E6']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
149.0 to 149.875,"[0, 2, 9]","['A4', 'C6', 'D6']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
150.0 to 150.875,"[0, 2, 10]","['B-4', 'B-5', 'C6', 'D6']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
151.0 to 151.0,"[0, 9]","['A5', 'C5']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
152.0 to 152.875,"[0, 5, 7, 9]","['A5', 'C4', 'F5', 'G5']","[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
153.0 to 153.875,[5],"['F4', 'F5']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
154.0 to 154.75,[5],"['F3', 'F4', 'F5']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
155.0 to 155.0,[3],"['E-3', 'E-4']","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
156.0 to 156.25,"[2, 5]","['D3', 'D4', 'F5']","[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
