offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
19.875,<music21.chord.Chord C6 C5>,[0],[0],[0],84,72,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['C6', 'C5']",19.0 to 19.875,"[0, 9]","['A3', 'A4', 'C5', 'C6']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
20.0,<music21.chord.Chord C6 C5 F4 F3>,"[0, 5]","[0, 5]","[0, 5]",84,53,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['C6', 'C5', 'F4', 'F3']",20.0 to 20.875,"[0, 5, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2]"
20.5,<music21.chord.Chord B5 B4 F4 F3>,"[0, 6]","[5, 11]","[5, 11]",83,53,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['B5', 'B4', 'F4', 'F3']",20.0 to 20.875,"[0, 5, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2]"
20.75,<music21.chord.Chord A5 A4 F4 F3>,"[0, 4]","[5, 9]","[5, 9]",81,53,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['A5', 'A4', 'F4', 'F3']",20.0 to 20.875,"[0, 5, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2]"
20.875,<music21.chord.Chord A5 A4>,[0],[9],[9],81,69,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['A5', 'A4']",20.0 to 20.875,"[0, 5, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2]"
21.0,<music21.chord.Chord G5 G4 E4 E3>,"[0, 3]","[4, 7]","[4, 7]",79,52,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['G5', 'G4', 'E4', 'E3']",21.0 to 21.0,"[4, 7]","['E3', 'E4', 'G4', 'G5']","[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
22.0,<music21.chord.Chord C5 C4 F4 F3>,"[0, 5]","[0, 5]","[0, 5]",72,53,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['C5', 'C4', 'F4', 'F3']",22.0 to 22.0,"[0, 5]","['C4', 'C5', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
23.0,<music21.chord.Chord C5 C4 G4 G3>,"[0, 5]","[7, 0]","[7, 0]",72,55,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['C5', 'C4', 'G4', 'G3']",23.0 to 23.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
23.125,<music21.chord.Chord B4 B3 G4 G3>,"[0, 4]","[7, 11]","[7, 11]",71,55,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['B4', 'B3', 'G4', 'G3']",23.0 to 23.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
23.25,<music21.chord.Chord G4 G3>,[0],[7],[7],67,55,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['G4', 'G3']",23.0 to 23.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
23.33333333,<music21.chord.Chord C5 C4 G4 G3>,"[0, 5]","[7, 0]","[7, 0]",72,55,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['C5', 'C4', 'G4', 'G3']",23.0 to 23.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
23.45833333,<music21.chord.Chord G4 G3>,[0],[7],[7],67,55,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['G4', 'G3']",23.0 to 23.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
23.5,<music21.chord.Chord B4 B3 G4 G3>,"[0, 4]","[7, 11]","[7, 11]",71,55,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['B4', 'B3', 'G4', 'G3']",23.0 to 23.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
23.625,<music21.chord.Chord G4 G3>,[0],[7],[7],67,55,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['G4', 'G3']",23.0 to 23.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
23.66666667,<music21.chord.Chord A4 A3 G4 G3>,"[0, 2]","[7, 9]","[7, 9]",69,55,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['A4', 'A3', 'G4', 'G3']",23.0 to 23.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
23.79166667,<music21.chord.Chord G4 G3>,[0],[7],[7],67,55,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['G4', 'G3']",23.0 to 23.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
23.875,<music21.chord.Chord B4 B3>,[0],[11],[11],71,59,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['B4', 'B3']",23.0 to 23.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
24.0,<music21.chord.Chord B4 B3 C4 C3>,"[0, 1]","[11, 0]","[11, 0]",71,48,String Quartet Op1 No6 iv C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['B4', 'B3', 'C4', 'C3']",24.0 to 24.875,"[0, 11]","['B3', 'B4', 'C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
