offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
182.0 to 182.75,"[7, 9, 10]","['A4', 'B-3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
183.0 to 183.5,"[0, 2, 3, 7]","['C4', 'C5', 'D5', 'E-5', 'G4']","[2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
184.0 to 184.75,"[0, 3, 7]","['C4', 'C5', 'E-5', 'G4']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
185.0 to 185.875,"[2, 7, 10]","['B-3', 'B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0]"
186.0 to 186.875,"[0, 7, 9, 10]","['A3', 'A4', 'B-4', 'C5', 'G4']","[1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0]"
187.0 to 187.75,"[0, 6, 9]","['A3', 'A4', 'C5', 'F#4']","[1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
188.0 to 188.625,"[7, 10]","['B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
189.0 to 189.0,[2],"['D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
190.0 to 190.0,[2],"['D3', 'D4']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
192.0 to 192.0,[7],['G3'],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
193.0 to 193.0,[2],['D5'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
194.0 to 194.0,[11],['B4'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
195.0 to 195.0,[2],['D4'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
196.0 to 196.0,[0],['C5'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
197.0 to 197.0,[9],['A4'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
198.0 to 198.0,[4],['E4'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
199.0 to 199.5,"[4, 7]","['E5', 'G5']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
200.0 to 200.5,"[0, 2]","['C5', 'D5']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
