offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
170.0,<music21.chord.Chord C5 F4 A3 A2>,"[0, 4, 7]","[5, 9, 0]","[7, 11, 2]",72,45,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[7, 11, 2]_11",0.905571925,"['C5', 'F4', 'A3', 'A2']",170.0 to 170.875,"[0, 5, 9]","['A2', 'A3', 'C5', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
170.875,<music21.chord.Chord C5>,[0],[0],[2],72,72,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,[2]_2,0.8999470209999999,['C5'],170.0 to 170.875,"[0, 5, 9]","['A2', 'A3', 'C5', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
171.0,<music21.chord.Chord C#5 F4 A3 A2>,"[0, 4, 8]","[1, 5, 9]","[3, 7, 11]",73,45,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[3, 7, 11]_11",0.8999470209999999,"['C#5', 'F4', 'A3', 'A2']",171.0 to 171.0,"[1, 5, 9]","['A2', 'A3', 'C#5', 'F4']","[0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
172.0,<music21.chord.Chord D5 F4 B-3 B-2>,"[0, 4, 7]","[10, 2, 5]","[0, 4, 7]",74,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 4, 7]_0",0.8999470209999999,"['D5', 'F4', 'B-3', 'B-2']",172.0 to 172.875,"[2, 5, 10]","['B-2', 'B-3', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
172.875,<music21.chord.Chord D5>,[0],[2],[4],74,74,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,[4]_4,0.8570864440000001,['D5'],172.0 to 172.875,"[2, 5, 10]","['B-2', 'B-3', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
173.0,<music21.chord.Chord D5 F4 B-3 B-2>,"[0, 4, 7]","[10, 2, 5]","[0, 4, 7]",74,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 4, 7]_0",0.8570864440000001,"['D5', 'F4', 'B-3', 'B-2']",173.0 to 173.75,"[2, 5, 10]","['B-2', 'B-3', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
173.75,<music21.chord.Chord F4 B-3 B-2>,"[0, 5]","[5, 10]","[7, 0]",65,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[7, 0]_0",0.810622134,"['F4', 'B-3', 'B-2']",173.0 to 173.75,"[2, 5, 10]","['B-2', 'B-3', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
174.0,<music21.chord.Chord F5 F4 B-3 B-2>,"[0, 5]","[5, 10]","[7, 0]",77,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[7, 0]_0",0.810622134,"['F5', 'F4', 'B-3', 'B-2']",174.0 to 174.875,"[2, 5, 10]","['B-2', 'B-3', 'B-4', 'D5', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 3, 0]"
174.33333330000002,<music21.chord.Chord D5 F4 B-3 B-2>,"[0, 4, 7]","[10, 2, 5]","[0, 4, 7]",74,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['D5', 'F4', 'B-3', 'B-2']",174.0 to 174.875,"[2, 5, 10]","['B-2', 'B-3', 'B-4', 'D5', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 3, 0]"
174.66666669999998,<music21.chord.Chord B-4 F4 B-3 B-2>,"[0, 5]","[5, 10]","[7, 0]",70,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['B-4', 'F4', 'B-3', 'B-2']",174.0 to 174.875,"[2, 5, 10]","['B-2', 'B-3', 'B-4', 'D5', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 3, 0]"
174.875,<music21.chord.Chord B-4>,[0],[10],[0],70,70,String Quartet Op1 No1 iv Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,['B-4'],174.0 to 174.875,"[2, 5, 10]","['B-2', 'B-3', 'B-4', 'D5', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 3, 0]"
175.0,<music21.chord.Chord A4 F4 C4 C3>,"[0, 4, 7]","[5, 9, 0]","[7, 11, 2]",69,48,String Quartet Op1 No1 iv Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0.0,"['A4', 'F4', 'C4', 'C3']",175.0 to 175.0,"[0, 5, 9]","['A4', 'C3', 'C4', 'F4']","[2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
176.0,<music21.chord.Chord F4 C4 C3>,"[0, 5]","[0, 5]","[2, 7]",65,48,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[2, 7]_2",0.903544792,"['F4', 'C4', 'C3']",176.0 to 176.0,"[0, 5]","['C3', 'C4', 'F4']","[2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
177.0,<music21.chord.Chord A4 E4 C4 C3>,"[0, 3, 7]","[9, 0, 4]","[11, 2, 6]",69,48,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[11, 2, 6]_2",0.910509754,"['A4', 'E4', 'C4', 'C3']",177.0 to 177.875,"[0, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'E4', 'F4', 'G4']","[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
177.125,<music21.chord.Chord G4 E4 C4 C3>,"[0, 4, 7]","[0, 4, 7]","[2, 6, 9]",67,48,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[2, 6, 9]_2",0.910509754,"['G4', 'E4', 'C4', 'C3']",177.0 to 177.875,"[0, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'E4', 'F4', 'G4']","[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
177.25,<music21.chord.Chord E4 C4 C3>,"[0, 4]","[0, 4]","[2, 6]",64,48,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[2, 6]_2",0.910509754,"['E4', 'C4', 'C3']",177.0 to 177.875,"[0, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'E4', 'F4', 'G4']","[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
177.33333330000002,<music21.chord.Chord A4 E4 C4 C3>,"[0, 3, 7]","[9, 0, 4]","[11, 2, 6]",69,48,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[11, 2, 6]_2",0.910509754,"['A4', 'E4', 'C4', 'C3']",177.0 to 177.875,"[0, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'E4', 'F4', 'G4']","[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
177.45833330000002,<music21.chord.Chord E4 C4 C3>,"[0, 4]","[0, 4]","[2, 6]",64,48,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[2, 6]_2",0.910509754,"['E4', 'C4', 'C3']",177.0 to 177.875,"[0, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'E4', 'F4', 'G4']","[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
177.5,<music21.chord.Chord G4 E4 C4 C3>,"[0, 4, 7]","[0, 4, 7]","[2, 6, 9]",67,48,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[2, 6, 9]_2",0.910509754,"['G4', 'E4', 'C4', 'C3']",177.0 to 177.875,"[0, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'E4', 'F4', 'G4']","[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
177.625,<music21.chord.Chord E4 C4 C3>,"[0, 4]","[0, 4]","[2, 6]",64,48,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[2, 6]_2",0.910509754,"['E4', 'C4', 'C3']",177.0 to 177.875,"[0, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'E4', 'F4', 'G4']","[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
177.66666669999998,<music21.chord.Chord F4 E4 C4 C3>,"[0, 4, 5]","[0, 4, 5]","[2, 6, 7]",65,48,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[2, 6, 7]_2",0.910509754,"['F4', 'E4', 'C4', 'C3']",177.0 to 177.875,"[0, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'E4', 'F4', 'G4']","[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
177.79166669999998,<music21.chord.Chord E4 C4 C3>,"[0, 4]","[0, 4]","[2, 6]",64,48,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[2, 6]_2",0.910509754,"['E4', 'C4', 'C3']",177.0 to 177.875,"[0, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'E4', 'F4', 'G4']","[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
177.875,<music21.chord.Chord G4>,[0],[7],[9],67,67,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,[9]_9,0.910509754,['G4'],177.0 to 177.875,"[0, 4, 5, 7, 9]","['A4', 'C3', 'C4', 'E4', 'F4', 'G4']","[2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
