offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
64.0 to 64.875,"[2, 4]","['D4', 'D5', 'E3', 'E4']","[0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
65.0 to 65.0,"[1, 9]","['A2', 'A3', 'C#4', 'C#5']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
66.0 to 66.0,[9],"['A3', 'A4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
67.0 to 67.875,"[7, 10]","['B-3', 'B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]"
68.0 to 68.0,"[1, 4]","['C#4', 'C#5', 'E3', 'E4']","[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
69.0 to 69.0,"[1, 5]","['C#4', 'C#5', 'F3', 'F4']","[0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
70.0 to 70.5,"[1, 2, 4, 5]","['C#3', 'C#4', 'D4', 'D5', 'E4', 'E5', 'F3', 'F4']","[0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0]"
71.0 to 71.5,"[2, 4, 5, 7]","['D3', 'D4', 'E3', 'E4', 'F4', 'F5', 'G4', 'G5']","[0, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0]"
72.0 to 72.0,"[5, 9]","['A4', 'A5', 'F3', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0]"
73.0 to 73.0,"[2, 7]","['D4', 'D5', 'G3', 'G4']","[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
74.0 to 74.0,"[1, 9]","['A3', 'A4', 'C#4', 'C#5']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
75.0 to 75.875,"[1, 2]","['C#4', 'C#5', 'D3', 'D4']","[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76.0 to 76.0,"[2, 9]","['A2', 'A3', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
77.0 to 77.0,[2],"['D2', 'D3']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78.0 to 78.25,"[2, 5]","['D4', 'D5', 'F4', 'F5']","[0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
79.0 to 79.25,"[5, 11]","['B3', 'B4', 'F4', 'F5']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2]"
