offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
12.0,<music21.chord.Chord D5 F4 B-3 B-2>,"[0, 4, 7]","[10, 2, 5]","[0, 4, 7]",74,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[0, 4, 7]_0",0.787341101,"['D5', 'F4', 'B-3', 'B-2']",12.0 to 12.625,"[2, 5, 10]","['B-2', 'B-3', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
12.625,<music21.chord.Chord D5 F4>,"[0, 3]","[2, 5]","[4, 7]",74,65,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[4, 7]_7",0.7995979259999999,"['D5', 'F4']",12.0 to 12.625,"[2, 5, 10]","['B-2', 'B-3', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
13.0,<music21.chord.Chord F4 B-3 B-2>,"[0, 5]","[5, 10]","[7, 0]",65,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[7, 0]_0",0.7995979259999999,"['F4', 'B-3', 'B-2']",13.0 to 13.625,"[5, 10]","['B-2', 'B-3', 'F4']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
13.625,<music21.chord.Chord F4>,[0],[5],[7],65,65,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[7]_7,0.7995979259999999,['F4'],13.0 to 13.625,"[5, 10]","['B-2', 'B-3', 'F4']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
14.0,<music21.chord.Chord E-5 G4 B-3 B-2>,"[0, 4, 7]","[3, 7, 10]","[5, 9, 0]",75,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[5, 9, 0]_0",0.7995979259999999,"['E-5', 'G4', 'B-3', 'B-2']",14.0 to 14.66666667,"[0, 3, 7, 9, 10]","['A4', 'B-2', 'B-3', 'C4', 'C5', 'E-4', 'E-5', 'G4']","[2, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0]"
14.33333333,<music21.chord.Chord C5 E-4 B-3 B-2>,"[0, 2, 5]","[10, 0, 3]","[0, 2, 5]",72,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[0, 2, 5]_0",0.7995979259999999,"['C5', 'E-4', 'B-3', 'B-2']",14.0 to 14.66666667,"[0, 3, 7, 9, 10]","['A4', 'B-2', 'B-3', 'C4', 'C5', 'E-4', 'E-5', 'G4']","[2, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0]"
14.625,<music21.chord.Chord C5 E-4>,"[0, 3]","[0, 3]","[2, 5]",72,63,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 5]_5",0.7995979259999999,"['C5', 'E-4']",14.0 to 14.66666667,"[0, 3, 7, 9, 10]","['A4', 'B-2', 'B-3', 'C4', 'C5', 'E-4', 'E-5', 'G4']","[2, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0]"
14.66666667,<music21.chord.Chord A4 C4>,"[0, 3]","[9, 0]","[11, 2]",69,60,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[11, 2]_2",0.7995979259999999,"['A4', 'C4']",14.0 to 14.66666667,"[0, 3, 7, 9, 10]","['A4', 'B-2', 'B-3', 'C4', 'C5', 'E-4', 'E-5', 'G4']","[2, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0]"
15.0,<music21.chord.Chord B-4 D4 B-3 B-2>,"[0, 4]","[10, 2]","[0, 4]",70,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[0, 4]_0",0.7995979259999999,"['B-4', 'D4', 'B-3', 'B-2']",15.0 to 15.0,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
17.0,<music21.chord.Chord D5>,[0],[2],[4],74,74,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[4]_4,0.7995979259999999,['D5'],17.0 to 17.66666667,"[2, 7, 10]","['B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
17.33333333,<music21.chord.Chord B-4>,[0],[10],[0],70,70,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[0]_0,0.7995979259999999,['B-4'],17.0 to 17.66666667,"[2, 7, 10]","['B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
17.66666667,<music21.chord.Chord G4>,[0],[7],[9],67,67,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[9]_9,0.7995979259999999,['G4'],17.0 to 17.66666667,"[2, 7, 10]","['B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
18.0,<music21.chord.Chord F4 D4 F3>,"[0, 3]","[2, 5]","[4, 7]",65,53,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[4, 7]_7",0.7995979259999999,"['F4', 'D4', 'F3']",18.0 to 18.625,"[2, 5]","['D4', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
18.625,<music21.chord.Chord F4 D4>,"[0, 3]","[2, 5]","[4, 7]",65,62,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[4, 7]_4",0.7995979259999999,"['F4', 'D4']",18.0 to 18.625,"[2, 5]","['D4', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
19.0,<music21.chord.Chord F4 D4 F3>,"[0, 3]","[2, 5]","[4, 7]",65,53,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[4, 7]_7",0.7995979259999999,"['F4', 'D4', 'F3']",19.0 to 19.625,"[2, 5]","['D4', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
19.625,<music21.chord.Chord F4 D4>,"[0, 3]","[2, 5]","[4, 7]",65,62,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[4, 7]_4",0.7995979259999999,"['F4', 'D4']",19.0 to 19.625,"[2, 5]","['D4', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
20.0,<music21.chord.Chord F4 C4 F3>,"[0, 5]","[0, 5]","[2, 7]",65,53,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 7]_7",0.7995979259999999,"['F4', 'C4', 'F3']",20.0 to 20.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
20.125,<music21.chord.Chord E-4 C4 F4 F3>,"[0, 3, 5]","[0, 3, 5]","[2, 5, 7]",65,53,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 5, 7]_7",0.7995979259999999,"['E-4', 'C4', 'F4', 'F3']",20.0 to 20.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
20.25,<music21.chord.Chord C4 F4 F3>,"[0, 5]","[0, 5]","[2, 7]",65,53,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 7]_7",0.7995979259999999,"['C4', 'F4', 'F3']",20.0 to 20.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
20.33333333,<music21.chord.Chord F4 C4 F3>,"[0, 5]","[0, 5]","[2, 7]",65,53,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 7]_7",0.7995979259999999,"['F4', 'C4', 'F3']",20.0 to 20.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
