offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,triadCoef,coefList
154.0 to 154.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",dMajor,0.5222329678670936,"[-0.17407765595569782, -0.17407765595569785, 0.5222329678670936, -0.17407765595569785, -0.17407765595569782, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569782, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569782, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785]"
156.0 to 156.5,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",dMajor,0.6172133998483675,"[0.0, -0.30860669992418377, 0.6172133998483675, -0.3086066999241839, -0.3086066999241839, -3.426222638094154e-17, -8.565556595235384e-18, 0.30860669992418377, -6.852445276188307e-17, -0.30860669992418377, 0.30860669992418377, -3.426222638094154e-17, -3.426222638094154e-17, -0.3086066999241839, 0.6172133998483675, -6.852445276188307e-17, -0.30860669992418377, 0.30860669992418377, -3.426222638094154e-17, -0.3086066999241839, -3.426222638094154e-17, -1.713111319047077e-17, 0.30860669992418377, -0.3086066999241839]"
157.0 to 157.625,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,0.8268106308031117,"[-0.07516460280028286, -0.37582301400141443, 0.8268106308031117, -0.3758230140014143, -0.3758230140014143, 0.22549380840084865, -0.07516460280028286, 0.2254938084008487, -0.07516460280028284, -0.07516460280028286, 0.2254938084008487, -0.07516460280028285, 0.22549380840084865, -0.3758230140014143, 0.5261522196019802, -0.07516460280028281, -0.37582301400141443, 0.5261522196019801, -0.07516460280028285, -0.3758230140014143, -0.07516460280028286, 0.22549380840084862, 0.2254938084008487, -0.37582301400141443]"
158.0 to 158.625,"[1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0]",dMajor,0.8268106308031117,"[-0.07516460280028284, -0.37582301400141443, 0.8268106308031117, -0.3758230140014143, -0.3758230140014143, 0.22549380840084865, 0.22549380840084865, -0.07516460280028285, -0.07516460280028286, -0.07516460280028286, -0.07516460280028285, 0.2254938084008487, 0.22549380840084865, -0.3758230140014143, 0.5261522196019802, -0.07516460280028281, -0.37582301400141443, 0.22549380840084862, 0.2254938084008487, -0.3758230140014143, -0.07516460280028286, 0.5261522196019801, -0.07516460280028285, -0.37582301400141443]"
159.0 to 159.875,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1]",gMajor,0.6793662204867574,"[0.45291081365783825, -0.22645540682891915, -0.22645540682891913, 0.4529108136578383, 6.285400167808074e-18, -0.22645540682891915, -0.22645540682891915, 0.6793662204867574, -0.22645540682891915, -0.22645540682891915, -0.22645540682891915, 2.5141600671232295e-17, -0.22645540682891915, -0.22645540682891915, 2.5141600671232295e-17, 0.4529108136578383, -0.22645540682891915, -0.22645540682891915, -0.22645540682891915, 0.6793662204867574, -0.22645540682891915, -0.22645540682891915, 0.4529108136578383, 0.0]"
160.0 to 160.5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,0.7745966692414831,"[-0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.25819888974716115, 0.7745966692414831, -0.2581988897471612, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104]"
161.0 to 161.5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,0.7745966692414831,"[0.25819888974716104, -0.2581988897471611, -0.2581988897471612, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471612, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, -0.25819888974716115, 0.7745966692414831, -0.2581988897471611, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104]"
162.0 to 162.875,"[2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2]",gMajor,0.4436069753671345,"[0.19011727515734342, -0.3168621252622389, -0.06337242505244778, -0.316862125262239, 0.19011727515734342, 0.19011727515734342, -0.3168621252622389, 0.4436069753671345, 0.1901172751573434, -0.3168621252622389, -0.06337242505244776, 0.19011727515734342, 0.19011727515734342, -0.31686212526223884, 0.4436069753671345, 0.19011727515734336, -0.3168621252622389, -0.06337242505244776, -0.316862125262239, 0.1901172751573434, 0.19011727515734342, -0.3168621252622389, -0.06337242505244776, 0.1901172751573434]"
163.0 to 163.0,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,0.9258200997725514,"[-2.5696669785706156e-17, -0.30860669992418377, 0.30860669992418377, 0.0, -2.5696669785706156e-17, -0.30860669992418377, -0.30860669992418377, 0.9258200997725514, -0.3086066999241839, -0.30860669992418377, 0.30860669992418377, -3.426222638094154e-17, -0.30860669992418377, -0.3086066999241839, 0.6172133998483675, -3.426222638094154e-17, -0.30860669992418377, 0.30860669992418377, -0.3086066999241839, 0.30860669992418377, -0.30860669992418377, -0.30860669992418377, 0.6172133998483675, -3.426222638094154e-17]"
164.0 to 164.875,"[0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 1]",dMajor,0.676481425202546,"[0.07516460280028292, -0.5261522196019801, 0.676481425202546, -0.22549380840084862, 0.0751646028002829, -0.22549380840084854, -0.22549380840084854, 0.676481425202546, -0.5261522196019801, 0.07516460280028292, 0.0751646028002829, 0.07516460280028292, 0.07516460280028292, -0.5261522196019801, 0.676481425202546, -0.22549380840084854, -0.22549380840084854, 0.3758230140014145, -0.22549380840084862, 0.3758230140014145, -0.5261522196019801, 0.07516460280028292, 0.37582301400141443, -0.22549380840084862]"
