offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
25,<music21.chord.Chord F4 D4 F3 F2>,"[0, 3]","[2, 5]","[4, 7]",65,41,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[4, 7]_7",0.736654366
25.625,<music21.chord.Chord F4 D4>,"[0, 3]","[2, 5]","[4, 7]",65,62,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[4, 7]_4",0.735117514
26,<music21.chord.Chord F4 C4 F3 F2>,"[0, 5]","[0, 5]","[2, 7]",65,41,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 7]_7",0.735117514
26.125,<music21.chord.Chord E-4 C4 F3 F2>,"[0, 3, 5]","[0, 3, 5]","[2, 5, 7]",63,41,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 5, 7]_7",0.729268573
26.25,<music21.chord.Chord C4 F3 F2>,"[0, 5]","[0, 5]","[2, 7]",60,41,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 7]_7",0.729268573
26.33333333,<music21.chord.Chord F4 C4 F3 F2>,"[0, 5]","[0, 5]","[2, 7]",65,41,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 7]_7",0.729268573
26.45833333,<music21.chord.Chord C4 F3 F2>,"[0, 5]","[0, 5]","[2, 7]",60,41,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 7]_7",0.729268573
26.5,<music21.chord.Chord E-4 C4 F3 F2>,"[0, 3, 5]","[0, 3, 5]","[2, 5, 7]",63,41,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 5, 7]_7",0.729268573
26.625,<music21.chord.Chord C4>,[0],[0],[2],60,60,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[2]_2,0.729268573
26.66666667,<music21.chord.Chord D4 C4>,"[0, 2]","[0, 2]","[2, 4]",62,60,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 4]_2",0.729268573
26.79166667,<music21.chord.Chord C4>,[0],[0],[2],60,60,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[2]_2,0.729268573
26.875,<music21.chord.Chord E-4>,[0],[3],[5],63,63,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[5]_5,0.729268573
27,<music21.chord.Chord D4 B-3 B-2>,"[0, 4]","[10, 2]","[0, 4]",62,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[0, 4]_0",0.729268573
30,<music21.chord.Chord B-4 D4 B-3 B-2>,"[0, 4]","[10, 2]","[0, 4]",70,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[0, 4]_0",0.670837207
30.625,<music21.chord.Chord B-4 D4>,"[0, 4]","[10, 2]","[0, 4]",70,62,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
31,<music21.chord.Chord B-4 D4 B-3 B-2>,"[0, 4]","[10, 2]","[0, 4]",70,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
31.625,<music21.chord.Chord B-4 D4>,"[0, 4]","[10, 2]","[0, 4]",70,62,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
32,<music21.chord.Chord B-5 G4 B-3 B-2>,"[0, 3]","[7, 10]","[9, 0]",82,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
32.625,<music21.chord.Chord B-5 G4>,"[0, 3]","[7, 10]","[9, 0]",82,67,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
33,<music21.chord.Chord B-5 G4 B-3 B-2>,"[0, 3]","[7, 10]","[9, 0]",82,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
33.5,<music21.chord.Chord A5 F4 B-3 B-2>,"[0, 4, 5]","[5, 9, 10]","[7, 11, 0]",81,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
33.625,<music21.chord.Chord A5 F4>,"[0, 4]","[5, 9]","[7, 11]",81,65,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
34,<music21.chord.Chord A5 F4 B-3 B-2>,"[0, 4, 5]","[5, 9, 10]","[7, 11, 0]",81,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
34.5,<music21.chord.Chord G5 E-4 B-3 B-2>,"[0, 4, 7]","[3, 7, 10]","[5, 9, 0]",79,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
34.625,<music21.chord.Chord G5 E-4>,"[0, 4]","[3, 7]","[5, 9]",79,63,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
35,<music21.chord.Chord G5 E-4 B-3 B-2>,"[0, 4, 7]","[3, 7, 10]","[5, 9, 0]",79,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
35.5,<music21.chord.Chord F5 D4 B-3 B-2>,"[0, 4, 7]","[10, 2, 5]","[0, 4, 7]",77,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
35.625,<music21.chord.Chord F5 D4>,"[0, 3]","[2, 5]","[4, 7]",77,62,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
36,<music21.chord.Chord F5 D4 B-3 B-2>,"[0, 4, 7]","[10, 2, 5]","[0, 4, 7]",77,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
36.625,<music21.chord.Chord F5>,[0],[5],[7],77,77,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
37,<music21.chord.Chord F5 D4 B-3 B-2>,"[0, 4, 7]","[10, 2, 5]","[0, 4, 7]",77,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
37.625,<music21.chord.Chord F5>,[0],[5],[7],77,77,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
38,<music21.chord.Chord F#5 D4 B-3 B-2>,"[0, 4, 8]","[2, 6, 10]","[4, 8, 0]",78,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
38.625,<music21.chord.Chord F#5>,[0],[6],[8],78,78,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
39,<music21.chord.Chord G5 E-4 B-3 B-2>,"[0, 4, 7]","[3, 7, 10]","[5, 9, 0]",79,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
39.625,<music21.chord.Chord G5>,[0],[7],[9],79,79,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
40,<music21.chord.Chord E-4 B-3 B-2>,"[0, 5]","[10, 3]","[0, 5]",63,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
41,<music21.chord.Chord B-5 G4 B-3 B-2>,"[0, 3]","[7, 10]","[9, 0]",82,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[9, 0]_0",0.787341101
41.33333333,<music21.chord.Chord G5 G4 B-3 B-2>,"[0, 3]","[7, 10]","[9, 0]",79,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[9, 0]_0",0.787341101
41.625,<music21.chord.Chord G5>,[0],[7],[9],79,79,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[9]_9,0.787341101
41.66666667,<music21.chord.Chord E-5>,[0],[3],[5],75,75,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[5]_5,0.787341101
42,<music21.chord.Chord D5 F4 B-3 B-2>,"[0, 4, 7]","[10, 2, 5]","[0, 4, 7]",74,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[0, 4, 7]_0",0.787341101
42.625,<music21.chord.Chord D5 F4>,"[0, 3]","[2, 5]","[4, 7]",74,65,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[4, 7]_7",0.799597926
43,<music21.chord.Chord F4 B-3 B-2>,"[0, 5]","[5, 10]","[7, 0]",65,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[7, 0]_0",0.799597926
43.625,<music21.chord.Chord F4>,[0],[5],[7],65,65,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[7]_7,0.799597926
44,<music21.chord.Chord E-5 G4 B-3 B-2>,"[0, 4, 7]","[3, 7, 10]","[5, 9, 0]",75,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[5, 9, 0]_0",0.799597926
44.33333333,<music21.chord.Chord C5 E-4 B-3 B-2>,"[0, 2, 5]","[10, 0, 3]","[0, 2, 5]",72,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[0, 2, 5]_0",0.799597926
44.625,<music21.chord.Chord C5 E-4>,"[0, 3]","[0, 3]","[2, 5]",72,63,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 5]_5",0.799597926
44.66666667,<music21.chord.Chord A4 C4>,"[0, 3]","[9, 0]","[11, 2]",69,60,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[11, 2]_2",0.799597926
45,<music21.chord.Chord B-4 D4 B-3 B-2>,"[0, 4]","[10, 2]","[0, 4]",70,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[0, 4]_0",0.799597926
